symbol,score,rs_rating,confidence,details,strategy,screened_at,strategies_count
INTC,120.0,127.94213672838823,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(127.94213672838823), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:36.622933,1
TMDX,120.0,130.68912020454562,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(130.68912020454562), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:37.049143,1
GS,120.0,105.73609762367504,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(105.73609762367504), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:38.076158,1
COMM,120.0,240.4894954626858,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(240.4894954626858), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:38.496579,1
GOOGL,120.0,109.94910109943498,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(109.94910109943498), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:38.926135,1
WDC,120.0,253.51432333449546,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(253.51432333449546), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:39.397528,1
AVGO,120.0,152.84473711552698,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(152.84473711552698), 'rs_bonus': 20, 'total_score': 120, 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:39.857107,1
JNJ,119.91822174407456,99.5911087203728,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.True_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(99.5911087203728), 'rs_bonus': np.float64(19.91822174407456), 'total_score': np.float64(119.91822174407456), 'conditions_met': np.int64(5)}",minervini_trend_template,2025-12-12T20:31:37.605034,1
AMD,100.0,114.08942577087177,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.False_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(114.08942577087177), 'rs_bonus': 20, 'total_score': 100, 'conditions_met': np.int64(4)}",minervini_trend_template,2025-12-12T20:31:36.082507,1
BABA,100.0,120.32149032021971,1.0,"{'condition1_price_above_mas': np.True_, 'condition2_trend_up': np.True_, 'condition3_above_50ma': np.False_, 'condition4_above_52w_low': np.True_, 'condition5_below_52w_high': np.True_, 'rs_rating': np.float64(120.32149032021971), 'rs_bonus': 20, 'total_score': 100, 'conditions_met': np.int64(4)}",minervini_trend_template,2025-12-12T20:31:40.291540,1
