symbol,score,rsi_value,signal_type,confidence,details,strategy,screened_at
GS,60.915550357729344,91.18500651110307,overbought,0.6091555035772934,"{'current_rsi': np.float64(91.18500651110307), 'avg_rsi': np.float64(82.18311007154587), 'signal_strength': np.float64(60.915550357729344), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:43.946753
TXN,47.42760897419558,85.81900668208489,overbought,0.4742760897419558,"{'current_rsi': np.float64(85.81900668208489), 'avg_rsi': np.float64(79.48552179483912), 'signal_strength': np.float64(47.42760897419558), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:45.256067
RIVN,47.305793739055346,66.9216243183867,overbought,0.47305793739055346,"{'current_rsi': np.float64(66.9216243183867), 'avg_rsi': np.float64(79.46115874781107), 'signal_strength': np.float64(47.305793739055346), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:36.956405
AMAT,44.912995072060866,88.44019543859031,overbought,0.4491299507206087,"{'current_rsi': np.float64(88.44019543859031), 'avg_rsi': np.float64(78.98259901441217), 'signal_strength': np.float64(44.912995072060866), 'threshold': 70}",rsi_momentum,2025-12-12T20:34:00.794459
TEAM,43.67156918967069,94.34830418150305,overbought,0.4367156918967069,"{'current_rsi': np.float64(94.34830418150305), 'avg_rsi': np.float64(78.73431383793414), 'signal_strength': np.float64(43.67156918967069), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:46.748510
COMM,37.001530723311404,84.31034539457458,overbought,0.37001530723311404,"{'current_rsi': np.float64(84.31034539457458), 'avg_rsi': np.float64(77.40030614466228), 'signal_strength': np.float64(37.001530723311404), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:45.621991
UPST,27.46527151846813,84.47837357596752,overbought,0.27465271518468126,"{'current_rsi': np.float64(84.47837357596752), 'avg_rsi': np.float64(75.49305430369363), 'signal_strength': np.float64(27.46527151846813), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:39.434757
CRM,20.90926354866646,83.44789380241755,overbought,0.2090926354866646,"{'current_rsi': np.float64(83.44789380241755), 'avg_rsi': np.float64(74.18185270973329), 'signal_strength': np.float64(20.90926354866646), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:47.805686
DV,20.802200279245184,72.41377609380643,overbought,0.20802200279245184,"{'current_rsi': np.float64(72.41377609380643), 'avg_rsi': np.float64(74.16044005584904), 'signal_strength': np.float64(20.802200279245184), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:50.258944
TSLA,10.931577547291482,75.38323124329916,overbought,0.10931577547291482,"{'current_rsi': np.float64(75.38323124329916), 'avg_rsi': np.float64(72.1863155094583), 'signal_strength': np.float64(10.931577547291482), 'threshold': 70}",rsi_momentum,2025-12-12T20:33:51.303131
